GeneSymbol	NumberPerfect	NumberImperfect	RejectPerfect	RejectPerfectNotes	RejectImperfect	RejectImperfectNotes. In cases where F=/, this lists acceptable forms.
DCR	175	18	x	disease control rate, etc	x	
DCST1	11	0				
DCST2	2	0				
DCSTAMP	1	1				
DCT	138	50	x	discrete cosine transform	x	
DCTD	1	1				
DCTN1	0	9				
DCTN2	4	0				
DCTN3	1	0				
DCTN4	8	0				
DCTPP1	2	0				
DCUN1D3	1	0				
DCX	58	3				
DDA1	4	0				
DDAH1	13	0				
DDAH2	8	0				
DDB1	58	0				
DDB2	32	0				
DDC	172	129		messy	x	
DDHD2	1	0				
DDI1	2	2				
DDI2	1	0				
DDIT3	25	17				
DDIT4	21	0				
DDN	16	7	x	dendromir	x	
DDO	14	0	x	acros		
DDOST	10	0				
DDR1	27	0				
DDR2	11	3				
DDT	418	41	x	insecticide	x	
DDX1	930	230				
DDX10	8	0				
DDX11	2	0				
DDX17	61	0				
DDX18	7	0				
DDX19A	20	1				
DDX19B	29	0				
DDX20	5	0				
DDX21	108	0				
DDX23	11	0				
DDX24	22	0				
DDX25	8	0				
DDX28	6	0				
DDX31	2	0				
DDX39A	2	0				
DDX39B	5	0				
DDX3X	68	0				
DDX3Y	17	4				
DDX4	10	3				
DDX41	166	3				
DDX42	19	0				
DDX43	3	0				
DDX46	13	0				
DDX47	7	0				
DDX49	1	0				
DDX5	456	36				
DDX52	4	0				
DDX53	7	0				
DDX56	135	0				
DDX58	216	13				
DDX6	249	0				
DDX60	146	0				
DDX60L	8	0				
DEAF1	8	1				
DECR1	12	0				
DEDD	86	0				
DEDD2	1	0				
DEFA1	48	1				
DEFA11P	6	0				
DEFA1A3	2	0				
DEFA1B	3	0				
DEFA3	16	0				
DEFA4	34	1				
DEFA5	17	0				
DEFA6	12	0				
DEFA8P	1	0				
DEFA9P	1	0				
DEFB1	26	12				
DEFB103A	2	0				
DEFB126	4	0				
DEFB4A	2	0				
DEFT1P	2	0				
DEGS1	23	0				
DEK	19	2			x	
DENND1B	4	0				
DENND6B	1	0				
DENR	30	0	x	Department of Environment and Natural Resources		
DEPDC1B	1	0				
DEPDC5	3	0				
DEPTOR	59	7				
DERA	3	8			x	
DERL1	1	2				
DERL2	8	2				
DES	705	112203	x	many acronyms and abbreviations	x	French
DET1	1	0				
DFFA	4	0				
DFFB	1	0				
DGAT1	51	2				
DGAT2	35	1				
DGCR	2	0				
DGCR2	1	0				
DGCR5	2	0				
DGCR8	122	7				
DGKA	8	12				
DGKE	13	1				
DGKG	0	1				
DGKH	27	0	x	german acronyms		
DGKI	1	0				
DGUOK	8	0				
DHCR24	7	0				
DHCR7	31	0				
DHDDS	16	0				
DHDH	0	2				
DHFR	410	97				
DHH	10	6				
DHODH	190	0				
DHPS	68	141			x	
DHRS1	1	0				
DHRS12	1	0				
DHRS13	5	0				
DHRS2	2	0				
DHRS3	2	0				
DHRS4	4	0				
DHRS4L1	1	0				
DHRS7	11	0				
DHRS9	2	0				
DHRSX	1	0				
DHX15	41	6				
DHX29	19	0				
DHX30	19	0				
DHX33	64	7				
DHX34	4	0				
DHX36	237	4				
DHX57	1	0				
DHX58	28	6				
DHX9	241	3				
DIABLO	3	3			x	
DIAPH1	2	0				
DIAPH3	11	0				
DICER1	47	12				
DIO1	0	7				
DIO2	1	17				
DIO3	0	10				
DIRAS3	2	0				
DIS3	0	4				
DIS3L	2	0				
DIS3L2	2	25				
DISC1	69	0				
DKC1	14	0				
DKK1	71	12				
DKK2	6	1				
DKK3	3	0				
DKKL1	0	1				
DLAT	4	8			x	
DLC1	37	0				
DLD	148	4	x	acronyms	x	
DLEU2	2	0				
DLG1	73	42				
DLG2	2	1				
DLG4	12	7				
DLG5	0	1				
DLGAP5	2	0				
DLK1	12	0				
DLL1	17	6				
DLL3	6	0				
DLL4	46	32				
DLST	46	0	x			
DLX1	5	2				
DLX2	1	7				
DLX3	2	1				
DLX5	3	9				
DLX6	3	3				
DMAP1	0	1				
DMBT1	106	1				
DMC1	24	8				
DMD	1023	68	x	duchenne muscular dystrophy		
DMP1	15	0				
DMPK	29	0				
DMRT1	4	10				
DMRT2	1	0				
DMRTA1	2	0				
DMRTC1	1	0				
DMTF1	0	3				
DMXL1	1	0				
DMXL2	1	0				
DNA2	30	3				
DNAAF1	1	0				
DNAAF2	2	0				
DNAAF3	1	0				
DNAAF5	1	0				
DNAH11	7	0				
DNAH14	1	0				
DNAH2	7	0				
DNAH3	2	0				
DNAH5	33	0				
DNAH9	1	0				
DNAI1	75	0				
DNAI2	6	0				
DNAJA1	19	0				
DNAJA2	2	0				
DNAJA3	0	1				
DNAJA4	1	0				
DNAJB1	27	1				
DNAJB11	1	2				
DNAJB12	7	0				
DNAJB14	3	2				
DNAJB2	3	0				
DNAJB4	1	0				
DNAJB6	1	1				
DNAJB9	2	0				
DNAJC10	6	0				
DNAJC11	9	0				
DNAJC12	21	0				
DNAJC13	3	0				
DNAJC14	23	1				
DNAJC18	1	0				
DNAJC19	2	0				
DNAJC3	2	0				
DNAJC6	4	0				
DNAJC7	1	2				
DNAJC8	2	0				
DNAL1	1	0				
DNALI1	2	0				
DNASE1	5	33				
DNASE1L3	4	5				
DNASE2	4	7				
DND1	5	2				
DNER	23	0				
DNM1	10	2				
DNM1L	17	0				
DNM2	19	6				
DNMBP	1	0				
DNMT1	246	42				
DNMT3A	118	61				
DNMT3B	69	34				
DNMT3L	5	2				
DNTT	3	2				
DNTTIP1	4	0				
DNTTIP2	5	0				
DOC2B	0	1				
DOCK10	1	11				
DOCK11	1	2				
DOCK2	36	6				
DOCK4	3	1				
DOCK5	2	0				
DOCK6	9	6				
DOCK7	8	1				
DOCK8	305	14				
DOCK9	0	7				
DOHH	14	0				
DOK1	4	4				
DOK2	4	5				
DOK3	4	0				
DOK6	1	0				
DOLK	2	3			x	
DONSON	0	12			x	
DOT1L	10	177				
DPAGT1	9	0				
DPCD	1	0				
DPEP1	2	0				
DPEP2	3	0				
DPF2	1	0				
DPH1	5	0				
DPH5	1	0				
DPM1	5	0				
DPM2	4	0				
DPM3	3	0				
DPP10	55	0				
DPP3	8	0				
DPP4	6122	84				
DPP6	13	0				
DPP7	3	0				
DPP8	54	1				
DPP9	58	1				
DPPA2	1	1				
DPPA4	0	1				
DPPA5	14	0				
DPRX	0	1				
DPT	352	327	x	Diptheria, Pertussus, Tetanus	x	department
DPY19L1	1	0				
DPY19L2	1	0				
DPYD	20	1				
DPYS	4	1				
DPYSL2	0	1				
DPYSL5	1	0				
DR1	88	11				
DRAM1	10	0				
DRAM2	1	0				
DRC1	1	0				
DRD1	21	2				
DRD2	57	4				
DRD3	16	0				
DRD4	6	1				
DRD5	0	1				
DRG1	4	0				
DRG2	1	0				
DROSHA	7	442				
DRP2	1	0				
DSC1	5	2				
DSC2	5	0				
DSC3	2	0				
DSCAM	10	12				
DSCR4	1	0				
DSE	98	58	x	acronyms	x	
DSG1	19	13				
DSG2	18	9				
DSG3	17	16				
DSP	423	61	x		x	
DSPP	5	0				
DST	481	20	x		x	
DSTN	2	0				
DSTYK	1	0				
DTD2	1	0				
DTL	87	9	x		x	
DTNB	96	0	x	5,5’\-dithiobis\-2\-nitrobenzoic acid		
DTNBP1	5	0				
DTX1	1	1				
DTX3	0	1				
DTX3L	123	0				
DTX4	8	1				
DUOX1	42	12				
DUOX2	39	30				
DUOXA2	0	1				
DUSP1	429	7				
DUSP10	31	1				
DUSP11	10	0				
DUSP12	0	3				
DUSP14	12	0				
DUSP16	5	8				
DUSP18	2	5				
DUSP2	28	0				
DUSP22	7	0				
DUSP27	1	0				
DUSP3	1	0				
DUSP4	26	0				
DUSP5	9	3				
DUSP6	24	1				
DUSP7	1	0				
DUSP8	5	3				
DUT	12	10			x	
DUX4	6	2				
DVL1	6	6				
DVL2	16	20				
DVL3	5	2				
DXO	6	0				
DYM	6	5			x	
DYNC1H1	16	0				
DYNC1I1	1	0				
DYNC1I2	1	0				
DYNC1LI1	1	1				
DYNC1LI2	0	1				
DYNC2H1	7	0				
DYNLL1	79	4				
DYNLL2	3	0				
DYNLRB1	5	0				
DYNLRB2	1	0				
DYNLT1	44	1				
DYNLT3	11	0				
DYRK1A	13	12				
DYRK1B	7	0				
DYRK2	8	0				
DYRK3	1	0				
DYSF	11	0				
Data	1	0				
E2F1	138	0				
E2F2	13	0				
E2F3	6	0				
E2F4	15	0				
E2F5	2	0				
E2F7	2	0				
E2F8	23	0				
E4F1	4	0				
EAF2	7	0				
EAPP	2	1	x	East African Power Pool	x	
EARS2	1	0				
EBAG9	8	0				
EBF1	9	4				
EBF2	4	0				
EBF3	10	2				
EBI3	163	67				
EBLN1	1	0				
EBLN2	1	0				
EBNA1BP2	1	0				
EBP	187	6	x		x	
ECD	673	1	x		x	
ECE1	29	6				
ECE2	1	0				
ECH1	1	0				
ECHDC1	1	0				
ECHDC3	2	0				
ECHS1	7	1				
ECI1	5	1				
ECI2	2	0				
ECM1	4	76				
ECM2	1	1				
ECRG4	5	3				
ECSCR	9	2				
ECSIT	17	0				
ECT2	18	0				
EDA	163	36	x		x	
EDA2R	0	1				
EDAR	6	0				
EDARADD	2	0				
EDC3	1	3				
EDC4	2	3				
EDEM1	626	2				
EDEM2	79	0				
EDEM3	62	0				
EDF1	2	1				
EDIL3	1	0				
EDN1	14	3				
EDN2	2	0				
EDN3	4	0				
EDNRA	26	2				
EDNRB	10	3				
EEA1	247	6				
EED	69	2	x		x	
EEF1A1	64	58				
EEF1A2	0	95				
EEF1D	4	0				
EEF1G	16	1				
EEF2	7	176				
EEFSEC	2	3				
EFCAB1	0	1				
EFCAB14	10	0				
EFEMP1	1	0				
EFHD2	2	1				
EFNA1	6	1				
EFNA2	4	0				
EFNA3	2	0				
EFNA4	8	0				
EFNA5	2	0				
EFNB1	17	0				
EFNB2	31	21				
EFNB3	5	0				
EFR3B	2	0				
EFS	1429	80	x	event free survival	x	
EFTUD2	0	2				
EGF	1922	7				
EGFL6	1	0				
EGFL7	6	14				
EGFLAM	1	0				
EGFR	4578	1655			x	estimated Glomular FIltration Rate (eGFR)
EGFR-AS1	1	0				
EGLN1	8	5				
EGLN2	4	0				
EGLN3	3	0				
EGOT	7	1			x	
EGR1	482	117				
EGR2	36	9				
EGR3	7	3				
EGR4	1	1				
EHBP1	1	0				
EHD1	5	0				
EHD2	3	0				
EHD3	0	1				
EHD4	5	0				
EHF	190	14	x	ebola hemorrhagic fever		
EHHADH	2	0				
EHMT1	7	0				
EHMT2	2	0				
EI24	1	0				
EID1	1	0				
EID2	38	1				
EIF1	8	102				
EIF1AX	5	0				
EIF1AY	3	0				
EIF1B	0	1				
EIF2A	7	123				
EIF2AK1	3	0				
EIF2AK2	62	7				
EIF2AK3	10	2				
EIF2AK4	14	8				
EIF2B1	3	1				
EIF2B2	2	0				
EIF2B3	1	0				
EIF2B4	4	1				
EIF2B5	11	2				
EIF2D	0	11				
EIF2S1	5	2				
EIF2S2	2	0				
EIF2S3	14	0				
EIF3A	9	57				
EIF3B	3	46				
EIF3C	4	29				
EIF3D	10	18				
EIF3E	4	85				
EIF3F	4	275				
EIF3G	3	7				
EIF3H	0	35				
EIF3I	5	75				
EIF3J	0	12				
EIF3K	1	1				
EIF3L	8	21				
EIF3M	0	5				
EIF4A1	6	21				
EIF4A2	65	21				
EIF4A3	6	5				
EIF4B	3	99				
EIF4E	28	1818				
EIF4E1B	0	1				
EIF4E2	5	4				
EIF4E3	2	1				
EIF4EBP1	11	5				
EIF4EBP2	1	0				
EIF4G1	4	24				
EIF4G2	11	5				
EIF4G3	0	5				
EIF4H	0	39				
EIF5	2	108				
EIF5A	6	105				
EIF5A2	6	5				
EIF5B	1	93				
EIF6	2	18				
ELAC2	1	0				
ELANE	92	10			x	
ELAVL1	12	1				
ELAVL2	1	0				
ELAVL4	1	0				
ELF1	10	2				
ELF2	0	4				
ELF3	3	3				
ELF4	4	6				
ELF5	5	0				
ELK1	6	42				
ELK3	1	1				
ELK4	5	0				
ELL	66	119	x		x	
ELMO1	12	0				
ELMO2	2	0				
ELMOD1	9	0				
ELMOD2	20	0				
ELMOD3	7	0				
ELN	81	18	x		/	Eln
ELOB	3	11				
ELOC	6	4				
ELOVL1	0	1				
ELOVL2	2	0				
ELOVL3	5	2				
ELOVL4	6	0				
ELOVL5	4	1				
ELOVL6	7	4				
ELOVL7	3	2				
ELP1	13	2				
ELP2	1	25				
ELP3	2	21				
ELP4	2	0				
EMB	431	21	x	Endomyocardial Biopsy	x	
EMC1	2	0				
EMC2	7	0				
EMC3	2	0				
EMC4	1	0				
EMCN	1	2				
EMD	652	9	x		x	
EME1	1	0				
EMILIN2	0	1				
EMILIN3	0	1				
EML4	4	0				
EMP1	5	3				
EMP2	18	3				
EMP3	1	2				
EMSY	16	0				
EMX1	4	1				
EMX2	15	5				
EN1	1	5				
EN2	5	10				
ENAH	2	2				
ENC1	1	0				
ENDOG	3	24				
ENDOU	1	687				
ENG	74	711			x	
ENGASE	0	10				
ENO1	51	21				
ENO2	11	1				
ENO3	10	1				
ENOPH1	1	0				
ENPEP	50	0				
ENPP1	146	4				
ENPP2	0	2				
ENPP4	1	0				
ENPP5	12	0				
ENPP6	0	10				
ENPP7	1	0				
ENPP7P13	1	0				
ENTHD1	1	0				
ENTPD1	6	2				
ENTPD4	1	0				
ENTPD5	8	0				
ENTPD6	1	0				
ENTPD7	1	0				
EOGT	1	0				
EOMES	13	196				
EP300	32	1				
EP400	4	1				
EPAS1	22	2				
EPB41L1	1	0				
EPB41L2	6	0				
EPB41L3	1	0				
EPB41L4B	2	0				
EPB42	2	0				
EPC1	2	0				
EPCAM	56	261				
EPDR1	1	0				
EPG5	5	1				
EPGN	1	1				
EPHA1	12	4				
EPHA2	13	64				
EPHA3	6	2				
EPHA4	2	8				
EPHA5	1	1				
EPHA7	2	1				
EPHA8	1	0				
EPHB1	4	8				
EPHB2	24	20				
EPHB3	1	8				
EPHB4	4	35				
EPHB6	4	0				
EPHX1	16	6				
EPHX2	13	1				
EPM2A	5	0				
EPN1	3	5				
EPN3	1	0				
EPO	1374	172				
EPOR	47	22				
EPS15	38	163				
EPS8	45	5				
EPS8L2	1	0				
EPSTI1	4	0				
EPX	32	1				
EPYC	5	3	x	processor	x	
ERAP1	75	1				
ERAP2	55	0				
ERAS	274	263	x	enhanced recovery after surgery	x	
ERBB2	134	165				
ERBB3	37	36				
ERBB4	9	43				
ERBIN	8	20				
ERC1	3	0				
ERCC1	154	6				
ERCC2	9	0				
ERCC3	1	0				
ERCC4	1	0				
ERCC5	2	0				
ERCC6	1	0				
ERCC6L2	2	0				
ERCC8	1	0				
EREG	30	4				
ERF	54	52			x	
ERFE	4	1			x	
ERFL	0	1			x	
ERG	338	155			x	
ERG28	1	0				
ERGIC3	7	0				
ERH	10	1	x		x	
ERI1	9	0				
ERI3	142	0				
ERICD	11	0				
ERLEC1	3	0				
ERLIN1	4	0				
ERLIN2	5	0				
ERMAP	22	0				
ERMN	14	5			x	
ERN1	10	1				
ERN2	3	2				
ERP27	0	1				
ERP29	6	139				
ERP44	2	9				
ERRFI1	0	1				
ERVFRD-1	1	0				
ERVW-1	2	0				
ESA4	2	0				
ESAM	11	7			x	
ESAT	12	1			x	
ESB3	6	0				
ESCO1	1	0				
ESCO2	1	2				
ESD	396	3	x	endoscopic submucosal dissection	x	
ESM1	9	1				
ESPN	8	2	x		x	
ESR1	92	24				
ESR2	40	4				
ESRG	1	0				
ESRRA	4	3				
ESRRB	7	4				
ESRRG	5	2				
ESX1	2	1				
ETAA1	1	0				
ETDA	4	0				
ETF1	1	0				
ETFA	15	0				
ETFB	6	0				
ETFDH	16	0				
ETHE1	19	3				
ETS1	16	11				
ETS2	16	1				
ETV1	11	0				
ETV2	3	0				
ETV4	11	0				
ETV5	3	1				
ETV6	16	0				
ETV7	4	0				
EVA1A	0	1				
EVC	54	4	x		x	
EVI5	3	0				
EVL	131	6	x		x	
EVPL	2	1				
EVX1	3	0				
EWSR1	29	1				
EXO1	6	9				
EXOC1	6	0				
EXOC2	6	0				
EXOC3	3	0				
EXOC3L2	1	0				
EXOC4	8	0				
EXOC5	6	0				
EXOC6	3	0				
EXOC6B	1	0				
EXOC7	4	0				
EXOC8	2	0				
EXOG	1	6			x	
EXOSC1	1	0				
EXOSC10	1	0				
EXOSC2	1	0				
EXOSC3	4	0				
EXOSC4	1	0				
EXOSC5	10	0				
EXOSC8	1	0				
EXOSC9	1	0				
EXT1	38	2				
EXT2	10	1				
EXTL1	1	0				
EXTL2	2	0				
EXTL3	13	1				
EYA1	13	4				
EYA4	5	0				
EYS	1	4			x	
EZH1	8	0				
EZH2	283	4				
EZR	30	0				
European	2	0				
F10	262	1				
F11	106	0				
F11-AS1	2	0				
F11R	9	1				
F12	261	18				
F13A1	8	2				
F13B	2	1				
F2	228	29				
F2R	5	2				
F2RL1	3	0				
F2RL3	5	0				
F3	269	12				
F5	105	3				
F7	24	2				
F8	46	3				
F8A1	15	0				
F8A2	21	0				
F8A3	21	0				
F9	42	0				
FA2H	5	0				
FAAH	212	3				
FAAP20	2	0				
FABP1	19	0				
FABP2	25	0				
FABP3	13	1				
FABP4	94	12				
FABP5	8	7				
FABP6	9	0				
FABP7	12	0				
FADD	296	7				
FADS1	4	0				
FADS2	9	0				
FADS6	1	0				
FAF1	6	1				
FAH	231	75			x	
FAIM	20	6			x	
FAIM2	2	0				
FAM104B	1	0				
FAM107A	0	3				
FAM111A	1	0				
FAM111B	2	0				
FAM124A	1	0				
FAM13A	18	1				
FAM167A	1	0				
FAM184A	1	0				
FAM20C	14	6				
FAM27C	1	0				
FAM3D	12	0				
FAM47C	2	0				
FAM53B	1	0				
FAM83A	1	0				
FAM83E	0	1				
FAM89A	12	0				
FAM98A	2	1				
FAM98B	30	0				
FAN1	175	0				
FANCA	11	0				
FANCB	1	0				
FANCC	12	0				
FANCD2	130	0				
FANCE	1	1			x	
FANCG	1	0				
FANCI	32	9			x	
FANCL	9	0				
FANCM	2	0				
FAP	599	1	x	Familial adenomatous polyposis		
FAR1	4	2				
FAR2	2	2				
FARP1	7	0				
FARP2	3	0				
FARS2	5	0				
FARSA	5	0				
FAS	726	1511		messy		
FAS-AS1	0	3				
FASLG	36	3				
FASN	218	15				
FASTK	19	0				
FASTKD1	1	0				
FASTKD2	7	0				
FASTKD5	2	0				
FAT1	8	37				
FAT2	1	7				
FAT4	1	0				
FAU	25	13	x	german university	x	
FBL	128	5				
FBLIM1	5	0				
FBLN1	1	3				
FBLN2	10	1				
FBLN5	4	12				
FBLN7	47	0				
FBN1	35	2				
FBN2	4	2				
FBP1	21	12				
FBP2	14	89				
FBXL17	0	1				
FBXL2	6	0				
FBXL3	3	0				
FBXL4	3	0				
FBXO11	5	1				
FBXO17	1	0				
FBXO2	1	0				
FBXO21	7	1				
FBXO3	21	2				
FBXO31	0	1				
FBXO32	2	3				
FBXO38	1	0				
FBXO40	1	0				
FBXO44	3	0				
FBXO45	0	1				
FBXO6	3	0				
FBXO7	2	0				
FBXO8	2	0				
FBXW11	2	0				
FBXW4	1	0				
FBXW7	9	2				
FBXW8	6	0				
FCAR	12	2				
FCER1A	19	3				
FCER1G	11	4				
FCER2	23	1				
FCGBP	3	0				
FCGR1A	13	1				
FCGR1B	1	0				
FCGR2A	93	2				
FCGR2B	31	6				
FCGR2C	21	0				
FCGR3A	75	5				
FCGR3B	37	1				
FCGRT	42	1				
FCHO1	5	7				
FCHO2	3	2				
FCMR	20	1	x			
FCN1	39	0				
FCN2	22	0				
FCN3	17	0				
FCRL1	4	6				
FCRL2	4	2				
FCRL3	14	4				
FCRL4	16	8				
FCRL5	5	6				
FCRL6	0	3				
FCRLA	2	4				
FCRLB	0	3				
FDFT1	13	0				
FDPS	16	85			x	
FDX2	1	0				
FDXR	6	0				
FECH	18	2				
FEM1A	0	2				
FEN1	13	4				
FENDRR	7	8				
FER	64	246	x	Ferritin	x	
FERMT2	1	0				
FERMT3	6	0				
FES	239	83	x		x	
FETUB	8	1	x	german		
FEV	3503	16	x	spirometry	x	
FEZ1	10	0				
FEZF2	1	0				
FFAR1	13	0				
FFAR2	12	0				
FFAR3	9	1				
FFAR4	5	0				
FGA	68	2				
FGB	32	4			x	
FGD1	5	0				
FGD2	2	3				
FGD3	2	0				
FGD4	9	0				
FGD5	4	0				
FGD6	3	0				
FGF1	51	2				
FGF10	47	42				
FGF11	6	0				
FGF12	2	1				
FGF13	1	0				
FGF14	6	0				
FGF16	7	0				
FGF17	2	0				
FGF18	17	0				
FGF19	151	0				
FGF2	606	10				
FGF20	3	0				
FGF21	167	4				
FGF22	3	0				
FGF23	247	3				
FGF3	17	0				
FGF4	20	0				
FGF5	8	0				
FGF6	1	0				
FGF7	53	13				
FGF8	12	16				
FGF9	189	3				
FGFBP1	2	0				
FGFR1	268	5				
FGFR1OP2	1	0				
FGFR2	69	9				
FGFR3	151	1				
FGFR4	79	1				
FGFRL1	1	0				
FGG	39	0				
FGL1	4	0				
FGL2	687	351				
FGR	394	23				
FH	126	18	x		x	Factor H
FHIT	31	25				
FHL1	10	0				
FHL2	50	4				
FHL3	60	0				
FHL5	7	0				
FHOD1	1	0				
FIBCD1	2	0				
FICD	2	0				
FIG4	6	10				
FIGLA	0	1				
FIGN	2	2				
FILIP1	4	0				
FIP1L1	2	1				
FIRRE	1	1				
FIS1	10	27				
FKBP11	43	0				
FKBP15	1	0				
FKBP1A	29	1				
FKBP1B	25	2				
FKBP2	1	0				
FKBP4	3	1				
FKBP5	82	3				
FKBP7	2	0				
FKBP8	20	0				
FKBPL	1	0				
FKRP	4	0				
FLAD1	8	0				
FLCN	13	1				
FLG	70	19			x 	
FLG2	2	0				
FLI1	5	7				
FLII	11	26				
FLNA	42	2				
FLNB	9	2				
FLNC	10	0				
FLOT1	9	0				
FLOT2	31	0				
FLRT2	4	0				
FLT1	37	17				
FLT3	488	56				
FLT3LG	0	1				
FLT4	8	4				
FLVCR1	4	0				
FMNL3	1	0				
FMO1	4	1				
FMO2	6	2				
FMO3	18	0				
FMO4	1	0				
FMO5	5	1				
FMO6P	1	0				
FMOD	4	0				
FMR1	70	2				
FN1	75	12				
FN3K	0	1				
FN3KRP	1	0				
FNDC3B	7	0				
FNDC5	3	4				
FNIP2	1	0				
FNTA	1	1				
FOLH1	2	0				
FOLR1	16	0				
FOLR2	4	1				
FOLR3	1	0				
FOS	482	202		Pretty Messy		
FOSB	14	44				
FOSL1	17	0				
FOSL2	10	6				
FOXA1	20	15				
FOXA2	17	12				
FOXA3	7	4				
FOXB1	2	0				
FOXC1	10	10				
FOXC2	5	18				
FOXD1	0	3				
FOXD2	1	0				
FOXD3	0	4				
FOXD4	1	0				
FOXE3	1	1				
FOXF1	16	2				
FOXF2	1	0				
FOXG1	7	2				
FOXH1	0	1				
FOXI1	9	8				
FOXI3	2	0				
FOXJ1	47	27				
FOXK1	1	0				
FOXK2	1	0				
FOXL1	4	13				
FOXL2	18	10				
FOXM1	95	17				
FOXN1	38	23				
FOXN2	1	0				
FOXN4	1	0				
FOXO1	239	137				
FOXO3	111	86				
FOXO3B	0	1				
FOXO4	43	27				
FOXO6	5	1				
FOXP1	25	82				
FOXP2	44	57				
FOXP3	625	1799				
FOXP4	1	0				
FOXQ1	0	3				
FOXRED1	1	0				
FOXRED2	8	0				
FPGS	19	1			x	
FPR1	269	9				
FPR2	317	11				
FPR3	51	2				
FRA16A	1	0				
FRA2H	1	0				
FRA4C	1	0				
FRAS1	1	8				
FRAXA	12	1			x	
FRAXB	2	0				
FRAXC	1	0				
FRAXD	2	0				
FRAXE	3	0				
FREM1	1	5				
FREM2	1	7				
FREM3	1	4				
FRG1	8	0				
FRG2B	1	0				
FRK	1	1				
FRMD3	2	0				
FRMD4A	2	0				
FRMD5	4	0				
FRMD6	2	0				
FRMD7	1	0				
FRMPD1	0	10				
FRMPD4	4	3				
FRS2	3	0				
FRS3	0	2				
FRY	9	339	x	Name		
FRZB	1	1			x	
FSBP	1	0				
FSCB	1	0				
FSCN1	34	1				
FSCN2	1	0				
FSCN3	2	0				
FSHB	1	0				
FSHR	62	13				
FSIP2	1	0				
FST	216	61	x	Forced Swim Test, others	x	
FSTL1	3	1				
FSTL3	10	0				
FSTL5	1	0				
FTCD	0	4			x	
FTH1	17	32				
FTL	77	6		Messy, but mostly right	x	
FTMT	2	1			x	
FTO	201	2			x	
FTSJ1	1	0				
FTSJ3	11	0				
FTX	8	8			x	
FUBP1	7	0				
FUCA1	0	65				
FUNDC1	13	3				
FURIN	422	4286				
FUS	265	51		Pretty messy	x	
FUT1	65	1				
x	0	1				
FUT2	237	20				
FUT3	51	0				
FUT4	6	0				
FUT5	1	0				
FUT6	1	0				
FUT7	4	0				
FUT8	11	1				
FUT9	2	0				
FUZ	1	4			x	
FXN	0	2			x	
FXR1	58	0				
FXR2	40	0				
FXYD1	3	0				
FXYD2	5	2				
FXYD3	1	0				
FXYD4	1	1				
FXYD5	29	0				
FYCO1	29	1				
FYN	45	178				
FZD1	8	8				
FZD10	9	0				
FZD2	5	2				
FZD3	4	0				
FZD4	13	4				
FZD5	8	2				
FZD6	3	0				
FZD7	2	4				
FZD8	3	0				
FZD9	2	0				
G0S2	3	0				
G2E3	2	0				
G3BP1	956	0				
G3BP2	134	0				
G6PC	6	9				
G6PC3	24	0				
G6PD	863	37				
GAA	1336	42	x	codon	x	
GAB1	12	14				
GAB2	6	8				
GAB3	4	0				
GABARAP	131	10				
GABARAPL1	20	7				
GABARAPL2	16	5				
GABARAPL3	2	0				
GABBR1	2	0				
GABPA	0	1				
GABPB1	4	0				
GABRA1	2	0				
GABRA2	1	0				
GABRA3	3	0				
GABRA4	9	0				
GABRA5	1	0				
GABRB1	6	0				
GABRB2	3	0				
GABRB3	11	0				
GABRD	6	0				
GABRE	4	1			x	
GABRG2	7	0				
GABRG3	1	0				
GABRP	6	0				
GABRQ	0	2				
GABRR2	2	0				
GAD1	5	1				
GAD2	11	0				
GADD45A	56	32				
GADD45B	119	9				
GADD45G	0	7				
GADD45GIP1	1	0				
GAGE1	6	0				
GAGE10	1	0				
GAGE12J	1	0				
GAGE13	1	0				
GAGE2C	1	0				
GAK	78	3			x	
GAL	116	868	x	Galactose	x	
GAL3ST1	1	0				
GALC	39	83			x	
GALE	4	425	x	name, software	x	
GALK1	2	0				
GALM	2	2			x	
GALNS	11	0				
GALNT1	4	0				
GALNT11	1	0				
GALNT12	1	0				
GALNT2	7	0				
GALNT3	4	2				
GALNT7	2	0				
GALP	2	15			x	
GALR1	0	5				
GALR2	0	2				
GALR3	0	3				
GALT	725	495	x	Gut Associated Lymphoid tissue	x	
GAMT	23	8				
GAN	391	574	x		x	
GANAB	1	0				
GAP43	14	0				
GAPDH	5758	262				
GAPDHS	0	12			x	
GAPT	4	2			x	
GAR1	20	1				
GARNL3	0	1				
GART	5	10			x	
GAS1	2	10				
GAS2	4	5				
GAS5	36	7				
GAS6	36	153				
GAS7	3	0				
GAST	7	68	x	Pump manufacturer	x	
GATA1	55	9				
GATA2	193	2				
GATA3	187	94				
GATA4	64	8				
GATA5	8	0				
GATA6	28	1				
GATAD2A	0	1				
GATAD2B	3	1				
GATB	3	0				
GATC	108	2	x	sequenc, company, etc		
GATM	1	3				
GBA	109	2		messy but ok?	x	
GBA2	16	1				
GBA3	1	0				
GBE1	22	2				
GBF1	902	5				
GBGT1	16	0				
GBP1	125	16				
GBP1P1	1	0				
GBP2	33	22				
GBP3	6	5				
GBP4	11	1				
GBP5	92	39				
GBP6	21	1				
GBP7	7	5				
GBX2	0	4				
GC	862	114	x	many acronyms	x	
GCA	1674	48	x	CODON	x	
GCAT	41	1	x			
GCC1	4	0				
GCDH	27	38				
GCG	1028	47	x	codon	x	
GCGR	22	8				
